adiaux,再见
probabl,可能
reciprok,相互
indiferent,冷漠
inteligent,聪明
amar,苦涩
imun,免疫
real,现实
ties,那些人的
unik,唯一
vant,无用
virg,处女的
aktiv,积极的
civil,市民的
cxies,每人
elast,弹性的
human,人道
intim,亲密
kaduk,破旧
koket,卖弄
lojal,忠诚
malic,恶意
mir/ind##,
rauxk,嘶哑声
rigid,僵硬
sekur,安全
solen,庄严
tener,温柔
valid,有效
abrupt,突如其来
absurd,荒谬
aktual,现实
arbitr,专横
auxdac,大胆
ekzakt,精确
furioz,狂暴
graved,怀孕
klasik,古典的
majest,威严
nervoz,神经质
oblikv,斜
obstin,固执
plen/agx##,
social,社会的
subtil,细腻
tragik,悲剧
absolut,绝对
kontant,现金
popular,流行
relativ,相对的
sin/don##,
solidar,团结
vegetar,素食
familiar,熟悉
grandioz,宏伟
kolektiv,集体的
sin/gard##,
kompetent,能干
universal,通用
kvit,清账
miop,近视
punc,罂粟色
ranc,酸败
cxast,貞洁
ekstr,特别
masiv,沉重
antikv,古代
arogant,傲慢
konform,适合
trivial,琐碎
elokvent,雄辩
kriminal,刑事
predikat,谓语
akut,锐角
dual,双重
hirt,竖毛
kalv,秃
banal,平凡
cinik,愤世嫉俗
gotik,哥特式
inert,惰性
obtuz,钝
okult,神秘术
pasiv,被动
rigor,严格
stoik,斯多亚
analog,类似
anonim,匿名
arkaik,古风
diafan,半透明
efemer,短暂
erotik,情色
fiktiv,虚构
formal,正式的
frivol,轻浮
intens,强烈
invers,逆
konciz,简洁
konkav,凹
mistik,神秘
neuxtr,中性
vulgar,通俗
akcesor,配件
apokrif,伪作
arhxaik,古代的
burlesk,滑稽
decimal,十进制
diskret,谨慎
fanatik,狂信
grotesk,怪诞
konkret,具体
kontinu,连续
liberal,自由主义
monoton,单调
negativ,消极
nominal,名义
pozitiv,积极
radikal,激进
skeptik,怀疑
solvent,偿付
abstrakt,抽象
auxtonom,自治
eventual,可能
inkluziv,含
neuxtral,中立
objektiv,客观
ortodoks,正统
primitiv,原始
provizor,临时
racional,有理
romantik,浪漫
sinoptik,概览用
spontane,自发
auxtentik,真实
definitiv,最终决定
ekskluziv,排他
korelativ,相关的
respektiv,各自的
subjektiv,主观的
transitiv,及物
spekulativ,思辨
impertinent,厚颜无耻
konservativ,保守派
sentimental,感伤
dek,十
mil,千
sep,七
ses,六
tri,三
unu,一
cent,百
kvar,四
kvin,五
naux,九
aux,或
nek,也不
sed,但
kvankam,虽然
plus,加
minus,减负
cxe,在
kun,共に
per,用
pri,关于
pro,因
sen,无
sub,下
sur,上面
tra,通过
apud,旁边
krom,除
laux,沿着
post,后
inter,之间
super,上方
trans,对面
antaux,前
ekster,外
preter,经过
kontraux,反对
malgraux,尽管
gxi,它
ili,它们
kio,什么
oni,人们
sxi,她
tio,那
cxio,一切
nenio,无物
tio cxi##,
dis,散
mal,反
cxef,主
eks,前
mis,错
pra,原始
dev,必需
dir,说
don,给
est,是
far,做
fin,完结
hav,持有
kon,知晓
leg,读
lev,举起
met,放置
mov,动
pet,请
pov,能
rid,笑
sci,知晓
sid,坐着
ten,握
ven,来
vid,看
viv,活着
vol,愿意
gxoj,喜悦
help,帮
kred,信
lern,学
logx,住
mort,死
okaz,发生
port,携带
pren,取
sekv,跟随
send,寄送
star,站立
dezir,愿
labor,工作
milit,战争
montr,显示
parol,说话
ricev,收取
skrib,写
sxajn,似乎
vetur,行驶
demand,问
komenc,开始
kompren,懂
respond,答复
bat,打
fal,落下
kri,喊
kur,跑
las,放弃
lum,发光
mir,惊奇
pag,付钱
pas,通過
reg,治政
son,声
tim,怕
tir,拉
auxd,听
brul,燃烧
dank,谢
dorm,睡觉
ferm,关
flug,飞翔
halt,停
jxet,扔
kant,唱
kost,成本
mank,缺
nask,生育
okup,占据
pens,想
perd,失去
prem,压制
prov,试
sent,感
turn,转动
acxet,买
atend,等
bezon,需
kresk,成长
mangx,吃
memor,记忆
sercx,找
trink,喝
konsil,劝告
permes,准许
postul,求
rakont,讲述
rigard,看
rimark,察觉
sxangx,换
vojagx,旅行
konstru,建造
prezent,展示
renkont,遇见
bru,吵闹
dub,疑
lav,洗
lud,玩
pen,努力
vek,唤醒
vok,呼唤
aper,现身
bril,闪耀
erar,错
fest,庆祝
frap,敲打
gajn,赢得
kapt,捕捉
kasx,藏
kovr,盖
kuir,煮
kusx,躺
pasx,步行
plor,哭
romp,破坏
salt,跳跃
serv,服务
tusx,触碰
vend,卖
zorg,照顾
batal,战斗
elekt,选举
esper,希望
koler,怒
mezur,测量
opini,认为
ordon,命令
plend,抱怨
ripoz,休息
salut,致敬
sufer,痛苦
akcept,接收
forges,忘
kalkul,算
komerc,经商
konduk,引领
pardon,原谅
silent,沉默
trancx,切
konsent,同意
auxskult,聆听
ban,洗澡
flu,流动
kre,创
mok,嘲笑
amuz,逗笑
cxes,停
efik,有效
gard,守护
jugx,审判
klin,倾斜
pend,挂着
pusx,推
spir,吸气
stud,研究
sxat,喜欢
tond,剪毛
traf,中
ating,达
decid,决定
estim,尊敬
invit,邀
kurac,治病
marsx,行进
placx,喜欢
ripet,重复
sxlos,锁
sxtel,偷
vizit,访
arangx,安排
ekzist,在
instru,教
intenc,意图
kompat,怜悯
prefer,更喜欢
prepar,准备
promen,散步
promes,许诺
sukces,成功
konserv,保存
bol,沸腾
kis,亲吻
obe,服从
paf,射击
pel,驱
pik,刺
pun,罚
sav,救助
tus,咳嗽
akir,得
apog,支撑
atak,攻击
bala,扫
blov,吹
cxas,狩猎
danc,舞蹈
eduk,教育
evit,避
fleg,护理
glit,滑
gvid,引导
gxen,妨碍
hejt,烧火
hont,羞愧
imag,想象
imit,仿效
komb,梳理
mend,预定
miks,混合
nagx,游泳
plug,耕种
pres,印刷
soif,渴
spez,支出
sxir,撕裂
trem,颤抖
trov,找
venk,胜
visx,擦
volv,缠绕
anonc,公告
aprob,赞同
avert,警告
merit,应得
minac,威胁
pentr,绘画
posed,拥有
pregx,祈祷
rifuz,拒绝
rilat,关系
ripar,修理
skrap,刮削
sxerc,戏弄
tromp,骗
defend,防卫
desegn,描绘
esting,扑灭
inform,通知
kompar,比较
kondut,行为
konfes,承认
konsci,意识
kultur,耕种
mensog,撒谎
rezult,结果
rikolt,收割
strecx,拉紧
sxovel,铲
akompan,陪伴
aparten,属
bedauxr,惋惜
konsist,组成
organiz,组织
progres,进步
respekt,尊重
riprocx,责备
diferenc,不同
rekomend,推荐
korespond,通信
enu,厌倦
fid,信任
gxu,享
hak,砍
log,引诱
pek,犯罪
pes,称重
raz,剃
dron,淹
fajf,吹哨
fand,熔化
farm,佃种
fart,起居健康
frot,擦
gxem,呻吟
krev,裂开
kudr,缝
mord,咬
muel,磨粉
nutr,养育
odor,气味
rajd,骑
solv,解決
taks,估计
teks,织
tent,诱惑
urgx,紧急
babil,聊
detru,毁坏
difin,定义
distr,分心
diven,看穿
divid,分割
etend,伸展
evolu,进化
forgx,锻造
frand,享用
grimp,攀登
hezit,犹豫
krocx,钩住
lauxd,赞扬
mason,砌筑
ofert,供给
ornam,装饰
petol,淘气
songx,梦见
stern,展开
supoz,假设
sxirm,遮挡
sxpar,节约
sxtop,堵塞
sxuld,欠债
sxvel,肿胀
toler,容忍
versx,倒
aspekt,显得
dauxr/ig##,
difekt,损坏
diskut,讨论
domagx,吝惜
ekscit,激发
ekzerc,练习
esplor,探索
esprim,表达
konsol,慰
murmur,低语
prezid,主席
signif,意
skulpt,雕刻
traduk,译
ekskurs,郊游
ekzamen,考试
komunik,传达
koncern,涉及
konstat,确认
protekt,保护
protest,抗议
renvers,翻转
surpriz,惊讶
konsider,考虑
persekut,迫害
reprezent,代表
bak,烤
ben,祝福
boj,吠叫
bor,钻孔
ced,让步
cit,引用
lek,舔
rab,抢夺
rav,陶醉
rem,划船
rev,幻想
seg,锯开
sku,摇动
ted,烦扰
teg,包裹
abon,订阅
dung,雇用
envi,羡慕
flar,闻
fond,创办
frit,煎
friz,卷发
gest,示意
glad,高兴
glut,吞咽
jxur,誓
kned,揉面
macx,咀嚼
melk,挤奶
migr,迁徙
munt,装配
ofer,献祭
pent,悔悟
pruv,证实
pump,泵吸
putr,腐烂
ramp,爬行
risk,冒险
ronk,鼾
rost,烤
sven,昏倒
sxov,推
sxut,撒
tajl,裁剪
tord,扭曲
tren,拖拽
vari,变动
velk,枯萎
adici,加
admir,崇敬
admon,劝告
adopt,收养
akcel,加速
atest,证实
cxerp,汲取
degel,融化
deleg,代表
fleks,弯曲
flirt,飘扬
hered,继承
influ,影响
kares,抚摸
medit,冥想
nauxz,恶心
osced,呵欠
pasxt,牧放
pauxz,暂停
pincx,捏
plekt,编织
regal,招待
ribel,反叛
sopir,想念
sorcx,施魔法
strik,罢工
sufok,窒息
sving,挥
sxarg,装填
sxmir,涂抹
trakt,商谈
tremp,浸
afrank,贴邮票
asekur,保险
balanc,平衡
barakt,挣扎
dedicx,献身
deklar,宣布
destin,注定
disput,争论
escept,排除
festen,宴会
frakas,粉碎
gratul,祝贺
ilustr,插图
import,进口
insist,坚持
instal,安装
instig,激励
insult,侮辱
komand,指挥
komisi,委托
konfid,信任
konfit,蜜饯
konfuz,混乱
konkur,竞赛
kritik,批评
observ,观察
penetr,进入
perfid,背叛
proced,进行
raport,报告
reklam,广告
rezign,放弃
rezist,抗拒
rifugx,避难
brak/um##,
civiliz,文明
cxagren,烦恼
de/pend##,
disting,区分
eksplod,爆炸
garanti,保证
komplez,讨好
kondamn,判罪
konfirm,确认
konjekt,猜测
konklud,结论
kontrol,核对
konvink,信服
operaci,手术
plen/um##,
pretend,声称
suspekt,怀疑
turment,折磨
distribu,分配
fanfaron,吹牛
kontrakt,合同
mastr/um##,
prokrast,拖延
administr,管理
el/turn/igx##,
entrepren,从事
dec,适宜
juk,痒
lul,摇晃
vad,涉水
vag,流浪
vet,赌
vom,呕吐
zum,嗡嗡叫
ador,崇拜
agit,煽动
akuz,控告
alud,暗示
bapt,洗礼
bind,装订
blek,嘶叫
bred,饲养
bucx,屠杀
cxif,皱褶
dikt,口述
dres,驯服
ekip,配备
est/ig##,
fast,斋戒
flat,奉承
flik,补缀
fugx,逃跑
fusx,搞砸
garn,装饰
grat,抓
hav/ig##,
izol,隔离
jung,套住
lukt,搏斗
mugx,吼叫
opon,反对
palp,摸索
pekl,腌
pere,灭亡
pli/ig##,
sark,除草
sekc,截断
sorb,吸收
spit,蔑视
sucx,吸
svat,媒介
tajp,打字
tern,喷嚏
tikl,搔痒
tint,叮当
trik,编织
trud,强加
vart,养育
adapt,适应
aplik,应用
asert,断言
asist,协助
balot,投票
cxe/est##,
delir,谵妄
depon,存放
deput,代表
enket,调查
eskap,逃脱
falcx,割
flagr,闪烁
for/est##,
grinc,吱吱叫
ignor,无视
impet,冲刺
incit,惹怒
indik,指示
insid,陷害
inund,泛滥
kracx,吐痰
liver,交付
menci,提及
modif,改正
ofend,冒犯
rezon,推理
rivel,揭示
start,开始
susur,沙沙响
sxpin,纺织
trejn,训练
vengx,报仇
abstin,节制
aflikt,苦恼
altern,交替
balbut,结巴
cirkul,循环
dejxor,值班
denunc,揭发
de/ten##,
dev/ont/ig##,
digest,消化
dispon,处理
dorlot,宠溺
eksped,发货
el/don##,
establ,设立
flustr,耳语
grimac,扮鬼脸
grumbl,抱怨
implik,卷入
indign,愤怒
indulg,宽恕
infekt,感染
injekt,注射
inspir,启发
invent,发明
klopod,尽力
kolizi,碰撞
kombin,组合
kompon,作曲
konsum,消耗
korekt,纠正
lubrik,润滑
manovr,演习
plongx,跳水
preleg,讲课
propon,建议
provok,挑衅
recenz,评论
redakt,编写
redukt,减少
revizi,校对
sxpruc,喷洒
aplauxd,鼓掌
blasfem,亵渎
bon/vol##,
brokant,古物买卖
eksport,出口
ekzekut,处决
gust/um##,
iniciat,发起
kalumni,诽谤
kompens,赔偿
komplik,复杂化
kontest,争辩
manipul,操纵
neglekt,忽视
persist,坚持
prononc,发音
prosper,繁荣
reflekt,反射
re/form##,
subtrah,减
sxancel,摇晃
televid,看电视
determin,确定
ekspluat,剥削
koncentr,集中
mistifik,愚弄
preskrib,规定
revoluci,革命
riverenc,鞠躬
interpret,解释
kompromit,连累
multiplik,乘
propagand,宣传
konversaci,交谈
interpelaci,质询
erp,耕
kov,孵
lut,焊接
pep,啾啾
tan,鞣
agac,厌烦
brod,绣
brog,烫
cxiz,雕刻
edif,教化
fajl,锉
krak,噼啪
kroz,巡航
pist,捣碎
rasp,擦
rast,耙
rigl,闩上
rukt,嗝
sibl,嘶嘶
skiz,素描
sput,吐
steb,缝合
stuk,抹灰
sxim,霉
torn,削
trot,小跑
urin,尿
varb,招募
adult,偷情
afekt,假装
akusx,生育
arest,逮捕
asign,分配
atenc,危害
drasx,打谷
drink,喝
ekzil,流放
filtr,过滤
infuz,注入
kribr,筛选
parad,游行
rabot,刨
rafin,精炼
satur,饱和
siegx,围城
skerm,击剑
strab,斜视
sxmac,啜
uzurp,篡夺
veget,植生
border,边缘
cxikan,挑剔
degrad,降级
dibocx,沉溺酒色
distil,蒸馏
drapir,覆盖
gargar,漱口
gravur,雕刻
guvern,养育
ilumin,照明
inokul,接种
intrig,陰謀
jxongl,魔术
kartav,喉音
kontuz,打伤
likvid,清算
makler,经纪
plauxd,拍
predik,讲道
rembur,填充
ventol,通风
decxifr,解码
degener,退化
diskont,贴现
ferment,发酵
kalfatr,填缝
kolport,兜售
kompost,排版
konspir,密谋
konvert,改宗
paraliz,麻痹
proklam,布告
singult,打嗝
cxarpent,木工
hipokrit,虚伪
intermit,间断
konstern,惊愕
marcxand,砍价
kapitulac,投降
kauxteriz,腐蚀
komentari,评论
koment,注释
poz,摆姿势
vak,空
boks,拳击
gxir,转账
kirl,搅拌
klak,咔咔
kluk,咯咯叫
knar,吱吱
murd,杀害
pled,辩护
sond,探测
tatu,纹身
abdik,退位
abort,流产
agoni,临终痛苦
aklam,欢呼
amput,截肢
aneks,合并
aspir,渴望
deriv,派生
feder,联合
impon,威压
invad,入侵
kauxr,蹲着
klacx,诽谤
klisx,刻板
kotiz,缴费
marin,腌制
miaux,喵叫
modul,转调
refut,驳斥
rikan,嘲笑
streb,努力
svarm,群集
sxveb,浮空
absorb,吸引
akapar,囤积
analiz,分析
asimil,同化
asperg,洒水
atribu,分配
auxgur,占卜
bojkot,抵制
cenzur,审查
dedukt,演绎
deklam,朗诵
dekolt,领口
indukt,归纳
kompil,编纂
konced,承认
konker,征服
korupt,贿赂
kverel,吵架
lament,哀悼
narkot,麻醉
stimul,激励
strigl,梳马
sxrump,枯萎
amortiz,摊销
anticip,预期
apelaci,上诉
bankrot,破产
bombard,轰炸
emancip,解放
inspekt,检查
katekiz,教理问答
koincid,符合
konfisk,没收
konsekr,奉献
konsult,咨询
legitim,证明
mobiliz,动员
pilgrim,朝圣
improviz,即兴创作
inauxgur,开幕式
karambol,撞球
katehxiz,教义
klasifik,分类
kontribu,贡献
litograf,石印
prostitu,卖淫
centraliz,集中
stenograf,速记
ekskomunik,破门
karakteriz,特征
ajx,物件
ant,进行中
ebl,能
igx,成
ind,值得
int,能動完了词尾
ism,主义
ist,者
obl,倍
ont,将要
estr,首
acx,劣质
cxj##,
end,必需
ing,器具
ajn,任何
cxi##,
ecx##,
for,离开
iam,曾经
iom,一些
jam,已
jen,看这里
jes,对
kie,哪里
mem,亲自
nun,现
nur,仅仅
pli,更
plu,继续
tie,那里
tre,非常
tro,过多
tuj,马上
cxie,到处
jxus,刚才
kiam,当
plej,最
tial,因此
tiam,那时
tiel,那样
tiom,那么多
cxiam,总是
nenie,无处
ankaux,也
neniam,从不
baldaux,很快
hieraux,昨天
hodiaux,今天
morgaux,明天
tie cxi##,
almenaux,至少
ankoraux,仍然
preskaux,几乎
tiel cxi##,
oft,频繁
ial,某种原因
iel,某种方法
volont,自愿的
des,愈加
neniom,毫无
cxial,各种理由
cxiom,全数
ia/foj##,
nenial,无理由
neniel,绝不
parker,记住
foj,次
hom,人
jar,年
kap,头
kor,心
lok,地
man,手
nom,名
tag,天
ter,地
vir,男
voj,路
afer,事务
amik,友人
form,形状
kamp,田地
land,国
mond,世界
naci,民族
patr,父亲
temp,时长
vort,词语
flank,侧
infan,儿童
patr/in##,
cxambr,房间
sinjor,先生
akv,水
arb,树
art,艺术
dom,房
edz,夫
fil,子息
har,毛
hor,时刻
lit,床
mar,海
mon,钱
mur,墙
pac,和平
pec,片
sun,日光
urb,城
bild,图画
bird,鸟
busx,バス
frat,兄弟
hejm,家
knab,男孩
kort,中庭
libr,书
mont,山
okul,眼睛
part,部分
pied,脚
pord,门口
rajt,权利
tabl,桌台
vent,风
vest,衣服
fingr,指
frukt,果实
kolor,色
leter,信件
lingv,语言
maten,早晨
popol,民众
punkt,点
rimed,方法
valor,值
cxeval,马
famili,家人
frauxl,单身男
person,人
semajn,周
vesper,晚会
vizagx,脸
fenestr,窗
aer,空气
agx,年龄
cel,目标
fer,铁
ide,观念
kat,猫
kol,脖
mez,中间
naz,鼻
nub,云
ord,次序
pan,面包
roz,玫瑰
best,兽
bord,岸
brak,臂
dent,牙
fajr,火
fisx,鱼
flor,花
glas,杯子
hund,狗
korp,体
lakt,奶
lign,木材
lini,线
mark,记号
negx,雪
nokt,夜
onkl,叔伯舅姨父
orel,耳
plum,羽毛
pluv,雨
rond,圆形
sang,血
segx,椅
spec,种类
stat,状态
supr,顶上
sxip,船
vitr,玻璃
angul,角
dauxr,持续
dolor,痛苦
gazet,杂志
kauxz,原因
kutim,习惯
minut,分
monat,月
natur,自然
nombr,数
paper,纸
plank,地板
river,河
somer,夏
staci,站
strat,街道
suker,糖
sxton,石
vagon,车厢
veter,天气
vintr,冬
auxtun,秋
cxapel,帽子
direkt,方向
kolekt,收集
moment,瞬间
plezur,愉快
vilagx,村
ekzempl,例子
gxarden,花园
histori,历史
printemp,春
bov,牛
ink,墨水
kaf,咖啡
kok,公鸡
kuk,蛋糕
kuz,堂兄弟
lag,湖
lim,界限
lun,月亮
maj,五月
pak,包裹
sak,袋
sum,总和
tru,洞
vin,葡萄酒
anim,灵魂
azen,驴
benk,长凳
dors,背
foli,叶
font,泉源
fund,底
genu,膝盖
gren,谷物
grup,组
herb,草
juli,七月
juni,六月
kart,卡片
klas,阶级
korb,篮子
kruc,十字架
krur,小腿
lang,语言
legx,法
lund,周一
mard,周二
mart,三月
ofic,职务
ombr,影子
pagx,页
pork,猪
posx,袋子
radi,光
regx,王
senc,意义
stel,星
sxaf,羊
verk,作品
vocx,嗓音
adres,地址
april,四月
brust,胸
buter,黄油
donac,礼物
glaci,冰
kuler,匙
mastr,主
muzik,音乐
numer,号
posxt,邮政
prunt,借贷
sabat,周六
sxtat,国家
sxtup,台阶
teler,盘
terur,恐怖
vapor,气
insekt,虫类
januar,一月
jxauxd,星期四
kovert,信封
krajon,铅笔
manier,方法
objekt,物件
oktobr,十月
plafon,天花
region,区域
religi,宗教
spirit,精神
argxent,银
dangxer,危险
decembr,十二月
dimancx,星期日
februar,二月
horlogx,钟表
merkred,周三
novembr,十一月
produkt,产物
vendred,周五
septembr,九月
bar,障碍
bek,喙
fak,学科
fum,烟
gas,气体
gut,滴
jak,夹克
kel,地窖
kuv,大桶
lip,唇
nep,孙
nev,侄外
not,注释
ole,油
ond,波
ost,骨
par,对
pom,果
pot,壶
rad,轮
ret,网
sal,盐
sap,肥皂
sem,种子
sud,南
sup,汤
sxu,鞋
tas,茶杯
tol,亚麻布
tuk,巾
ung,甲
val,谷地
vic,队列
barb,胡子
bros,刷子
fakt,事实
flag,旗
fork,叉子
forn,炉
gast,客
gras,脂肪
kapr,山羊
karb,煤
kest,箱
korn,兽角
krim,罪行
lamp,灯
mebl,家具
mien,神情
musx,苍蝇
nord,北
past,面团
pilk,球
pint,尖端
polv,尘
pont,桥
prez,价
rand,边缘
regn,国
seri,系列
sign,标记
sort,命运
spic,香料
vang,脸颊
vost,尾部
vund,伤
botel,瓶
buton,纽扣
cifer,数
faden,线
frunt,额头
hauxt,皮肤
honor,尊敬
insul,岛
kajer,练习本
kamen,壁炉
legom,菜蔬
liter,字母
metal,金属
pingl,针
polic,警察
polur,抛光
premi,奖品
regul,规则
sezon,季
sxanc,机会
sxnur,绳
tabul,板
viand,肉
baston,棒
brancx,枝
cxemiz,衬衣
doktor,博士
kravat,领带
lecion,课
masxin,机器
milion,百万
najbar,邻人
parenc,亲戚
publik,公众
scienc,科学
sekret,秘密
skatol,手箱
soldat,兵士
spegul,镜
sxargx,货物
sxrank,橱柜
tualet,打扮
cxapitr,章
fromagx,奶酪
kondicx,条件
praktik,实践
serpent,蛇
sxtrump,长袜
tegment,顶
telefon,电话
industri,产业
kilogram,千克
okcident,西
pantalon,裤子
abi,冷杉
agl,鹰
ber,浆果
bot,靴子
bul,球
dat,日期
glu,胶
jup,裙子
kav,坑
lan,羊毛
led,鞣皮
mod,时尚
mor,习俗
pin,松树
pip,烟斗
piz,豌豆
put,井
rel,轨道
riz,稻米
rok,岩
suk,汁
tem,题目
tub,管
tur,塔
vat,棉
vaz,器皿
zon,带
arme,军
bank,银行
bien,庄园
bier,啤酒
bret,架
brik,砖
cikl,周期
cxap,帽子
drat,线
epok,时代
fask,捆
feri,假日
film,影片
flam,火焰
flos,筏
fojn,干草
fulm,闪电
glob,球体
grad,度
gust,味
kadr,框
krem,奶油
kurb,曲线
kurs,课程
larm,泪
leon,狮
litr,升
luks,奢华
meti,手艺
metr,米
najl,钉
nest,巢
pajl,稻草
plac,广场
plad,大盘
plan,计划
poet,诗人
pugn,拳头
ring,环
sabl,沙
scen,场景
skal,比例
soci,社交
spac,空间
stal,马厩
task,任务
tomb,墓
verm,虫
vers,诗句
viol,紫罗兰
agord,调音
balon,气球
bilet,票券
burgx,中产
centr,中心
etagx,层
farun,粉
figur,图形
frost,冰冻
gorgx,喉
grund,地基
haven,港
hotel,饭店
humor,情绪
karot,胡萝卜
katar,卡他病
kling,刃
koton,棉
kvant,量
lepor,野兔
makul,斑点
manik,袖
membr,成员
mizer,贫困
nebul,雾
organ,器官
parti,党派
pastr,牧师
radik,根
serur,锁
solid,固体
sonor,响声
strek,划
sxvit,汗
tabak,烟草
tabel,表格
titol,标题
tondr,雷
valiz,行李箱
ventr,腹部
alumet,火柴
aparat,装置
brasik,白菜
citron,柠檬
cxifon,破烂
dekliv,坡
dezert,沙漠
elektr,电
energi,能量
fiancx,未婚夫
hirund,燕子
kelner,服务员
kvalit,质
majstr,大师
mantel,披风
martel,锤
matrac,床垫
menton,下巴
orangx,橙
origin,起源
potenc,权力
salajr,工资
sekund,秒
societ,社团
stomak,胃
sxultr,肩
tapisx,地毯
tritik,小麦
aventur,冒险
cigared,香烟
distanc,距离
embaras,尴尬
kamarad,伙伴
kaserol,炖锅
komitat,委员会
kongres,大会
kvadrat,正方
magazen,商店
pasport,护照
politik,政治
registr,登记簿
ter/pom##,
akcident,事故
auxtobus,公交车
auxtomat,自動装置
cxokolad,巧克力
direktor,主任
instinkt,本能
karakter,特性
kauxcxuk,橡胶
material,材料
standard,旗帜
telegraf,电报机
restoraci,餐馆
ark,弧形
baz,基
beb,婴儿
bub,顽童
bud,棚屋
fel,皮毛
hok,钩
huf,蹄
jur,法
kas,金库
kin,电影
kom,逗号
kot,泥
lup,狼
mam,乳房
map,图
min,矿山
mus,小鼠
net,誊清稿
nod,节点
orf,孤儿
ort,直角
pat,煎锅
pil,电池
pir,梨
pup,娃娃
rat,鼠
rip,肋骨
rob,长袍
tip,类型
ton,音调
urs,熊
var,货物
vel,帆
vit,葡萄树
abel,蜜蜂
auxt,汽车
bluz,罩衫
boat,船
brov,眉
cerb,脑
cxek,支票
cxen,链
disk,圆盘
dram,剧本
drap,呢绒
dusx,淋浴
ezok,狗鱼
farb,颜料
febr,高烧
fend,裂缝
foir,定期市
fost,柱
frag,草莓
fulg,烟
funt,磅
gant,手套
geni,天才
glor,荣誉
golf,海湾
hajl,冰雹
hero,英雄
kemi,化学
kord,琴弦
kork,软木
krad,栅栏
kran,龙头
kret,粉笔
kriz,危机
kron,冠
kugl,弹丸
kupr,铜
lift,电梯
list,清单
mast,桅杆
nadl,针
nerv,神经
oliv,橄榄
park,公园
pasi,热情
pask,复活节
pelt,皮毛
plet,盘
poem,诗
proz,散文
pulm,肺
pulv,火药
rang,级别
revu,杂志
ritm,节奏
seks,性
sens,感觉
silk,丝
simi,猴
sojl,门槛
stil,风格
stri,条
sxel,壳
tend,帐篷
verb,动词
verg,枝条
vert,顶
vidv,鳏夫
virt,德
vual,面纱
vulp,狐
afisx,广告
album,影集
almoz,施舍
arane,蜘蛛
asoci,协会
avenu,林荫道
aviad/il##,
barel,桶
bazar,市场
betul,桦木
brems,刹车
butik,店
detal,细节
diabl,恶魔
emoci,情感
enigm,谜
esenc,本质
fauxk,毒口
fizik,物理
framb,覆盆子
grajn,穀粒
hxemi,化学
ideal,理想
juvel,宝石
katen,镣铐
kitel,罩衫
krucx,十字
krust,壳
kubut,肘部
kukol,布谷
kverk,橡树
lamen,薄片
marcx,沼泽
metod,方法
model,模型
motor,发动机
nivel,水平
palac,宫殿
panj,妈妈
penik,画笔
