adiaux,さよなら
konsol,慰める
murmur,呟く
prezid,議長
signif,意味する
skulpt,彫る
traduk,訳す
ekskurs,遠足
ekzamen,調査
komunik,伝える
koncern,関係
konstat,確認
protekt,保護
protest,抗議
renvers,転覆
surpriz,驚かす
konsider,考慮
persekut,迫害
reprezent,代表
bak,焼く
ben,祝福
boj,吠える
bor,穴あけ
ced,譲る
cit,引用
lek,なめる
rab,奪う
rav,魅了
rem,漕ぐ
rev,夢見る
seg,切る
sku,揺す
ted,退屈
teg,覆う
abon,予約
dung,雇う
envi,羨む
flar,嗅ぐ
fond,設立する
frit,揚げる
friz,巻く
gest,ジェスチャー
glad,アイロン
glut,飲む
jxur,誓う
kned,こねる
macx,噛む
melk,搾乳
migr,移動
munt,組立
ofer,捧げる
pent,悔やむ
pruv,証明
pump,吸う
putr,腐る
ramp,這う
risk,危険
ronk,いびき
rost,焼く
sven,気絶
sxov,押す
sxut,撒く
tajl,裁断
tord,ねじる
tren,引く
vari,変わる
velk,枯れる
adici,足す
admir,感嘆
admon,諭す
adopt,養子
akcel,加速
atest,証明
cxerp,汲む
degel,溶ける
deleg,派遣
fleks,曲げる
flirt,翻る
hered,相続
influ,影響
kares,愛撫
medit,瞑想
nauxz,吐き気
osced,欠伸
pasxt,牧する
pauxz,休止
pincx,つまむ
plekt,編む
regal,ごちそう
ribel,反乱
sopir,恋しがる
sorcx,魔法
strik,ストする
sufok,窒息
sving,振る
sxarg,装填
sxmir,塗る
trakt,扱う
tremp,浸す
afrank,貼る
asekur,保険
balanc,揺れる
barakt,もがく
dedicx,捧ぐ
deklar,宣言
destin,予定する
disput,論争
escept,除外
festen,宴会
frakas,砕く
gratul,祝う
ilustr,挿絵
import,輸入
insist,主張
instal,設置
instig,励ます
insult,侮辱
komand,指揮
komisi,委託
konfid,信頼
konfit,砂糖漬け
konfuz,混乱
konkur,競う
kritik,批判
observ,観察
penetr,浸透
perfid,裏切る
proced,進行
raport,報告
reklam,宣伝
rezign,放棄
rezist,抵抗
rifugx,避難
brak/um##,
civiliz,教化
cxagren,苛立つ
de/pend##,
disting,判別
eksplod,爆発
garanti,保証
komplez,親切
kondamn,有罪
konfirm,確認
konjekt,推測
konklud,結論
kontrol,検査
konvink,説得
operaci,手術
plen/um##,
pretend,主張する
suspekt,疑う
turment,虐める
distribu,配る
fanfaron,自慢する
kontrakt,契約する
mastr/um##,
prokrast,延期
administr,管理
el/turn/igx##,
entrepren,企てる
dec,適合
juk,かゆい
lul,揺らす
vad,歩く
vag,彷徨
vet,賭ける
vom,吐く
zum,ブンブン
ador,崇拝
agit,煽る
akuz,告発
alud,示唆
bapt,洗礼
bind,製本
blek,嘶く
bred,飼育
bucx,屠殺
cxif,しわくちゃ
dikt,口述
dres,訓練
ekip,装備
est/ig##,
fast,断食
flat,おだてる
flik,修理
fugx,逃げる
fusx,失敗
garn,強化
grat,掻く
hav/ig##,
izol,孤立
jung,つなぐ
lukt,戦う
mugx,唸る
opon,反対
palp,触る
pekl,漬
pere,滅びる
pli/ig##,
sark,除草
sekc,切断
sorb,吸収
spit,無視
sucx,吸う
svat,仲人
tajp,打つ
tern,くしゃみ
tikl,くすぐる
tint,鳴る
trik,編む
trud,押し付ける
vart,保育
adapt,適応
aplik,応用
asert,断言
asist,助ける
balot,投票
cxe/est##,
delir,錯乱
depon,預ける
deput,代理
enket,調査
eskap,逃げる
falcx,刈る
flagr,揺らめく
for/est##,
grinc,きしる
ignor,無視
impet,突進
incit,怒らす
indik,示す
insid,陥れる
inund,氾濫
kracx,痰吐
liver,供給
menci,言及
modif,修正
ofend,侮辱
rezon,推論
rivel,明かす
start,始める
susur,さらさら
sxpin,紡ぐ
trejn,訓練
vengx,復讐
abstin,禁欲
aflikt,悩ます
altern,交互
balbut,どもる
cirkul,循環
dejxor,当直
denunc,告発
de/ten##,
dev/ont/ig##,
digest,消化
dispon,使う
dorlot,甘やかす
eksped,発送
el/don##,
establ,設立
flustr,囁く
grimac,しかめる
grumbl,不平
implik,絡める
indign,憤る
indulg,容赦
infekt,感染
injekt,注射
inspir,感動
invent,発明
klopod,努力
kolizi,衝突
kombin,組む
kompon,構成
konsum,消費
korekt,訂正
lubrik,注油
manovr,演習
plongx,飛び込む
preleg,講演
propon,提案
provok,挑発
recenz,批評
redakt,編集
redukt,縮小
revizi,校閲
sxpruc,噴出
aplauxd,拍手
blasfem,冒涜
bon/vol##,
brokant,古物商
eksport,輸出
ekzekut,処刑
gust/um##,
iniciat,開始する
kalumni,中傷
kompens,補償
komplik,複雑にする
kontest,異議
manipul,操作
neglekt,無視
persist,続ける
prononc,発音
prosper,繁栄
reflekt,反射
re/form##,
subtrah,引く
sxancel,揺らす
televid,テレビ
determin,決定する
ekspluat,搾取
koncentr,集中
mistifik,欺く
preskrib,処方
revoluci,革命
riverenc,お辞儀
interpret,通訳
kompromit,危険
multiplik,掛ける
propagand,宣伝
konversaci,会話
interpelaci,質問
erp,耕す
kov,抱く
lut,はんだ付け
pep,鳴く
tan,鞣す
agac,不快
brod,刺繍
brog,熱湯
cxiz,彫る
edif,教化
fajl,やすり
krak,ぱちぱち
kroz,巡航
pist,粉砕
rasp,削る
rast,かく
rigl,施錠
rukt,げっぷ
sibl,シュー音
skiz,スケッチ
sput,吐く
steb,縫う
stuk,塗る
sxim,かび
torn,削る
trot,速歩
urin,尿する
varb,募集
adult,不倫
afekt,装う
akusx,出産
arest,逮捕
asign,割当
atenc,害する
drasx,脱穀する
drink,飲む
ekzil,追放
filtr,濾過
infuz,注ぐ
kribr,ふるう
parad,行進
rabot,かんな
rafin,精製
satur,飽和
siegx,包囲
skerm,剣術
strab,斜視
sxmac,キス
uzurp,奪う
veget,植生
border,縁取る
cxikan,けち
degrad,降格
dibocx,放蕩
distil,蒸留
drapir,覆う
gargar,うがい
gravur,彫る
guvern,育てる
ilumin,照らす
inokul,接種
intrig,陰謀
jxongl,手品
kartav,喉音
kontuz,打撲
likvid,清算
makler,仲買
plauxd,ばしゃり
predik,説教
rembur,詰める
ventol,換気
decxifr,解読
degener,退化
diskont,割引
ferment,発酵
kalfatr,コーキン
kolport,行商
kompost,植字
konspir,陰謀
konvert,改宗
paraliz,麻痺
proklam,布告
singult,しゃっくり
cxarpent,大工
hipokrit,偽善者
intermit,中断
konstern,驚かす
marcxand,値切る
kapitulac,降伏
kauxteriz,焼灼
komentari,コメント
koment,注釈
poz,ポーズ
vak,空
boks,ボクシング
gxir,振替
kirl,かき混ぜる
klak,カチカチ
kluk,鳴く
knar,きしる
murd,殺す
pled,弁護
sond,探査
tatu,刺青
abdik,退位
abort,中絶
agoni,苦悶
aklam,歓呼
amput,切断
aneks,併合
aspir,熱望
deriv,派生
feder,連合
impon,威圧
invad,侵入
kauxr,しゃがむ
klacx,悪口
klisx,陳腐
kotiz,払う
marin,漬ける
miaux,ニャア
modul,転調
refut,反論
rikan,嘲笑する
streb,努める
svarm,群れる
sxveb,浮く
absorb,夢中
akapar,買占める
analiz,分析
asimil,同化
asperg,水やり
atribu,割当
auxgur,占う
bojkot,拒否
cenzur,検閲
dedukt,推論
deklam,朗読
dekolt,襟
indukt,帰納
kompil,編む
konced,認める
konker,征服
korupt,買収
kverel,けんか
lament,嘆く
narkot,麻酔
stimul,励ます
strigl,馬櫛
sxrump,しぼむ
amortiz,償却する
anticip,予測
apelaci,訴訟
bankrot,破産
bombard,砲撃
emancip,解放
inspekt,査察
katekiz,教理
koincid,一致
konfisk,没収
konsekr,聖別
konsult,相談
legitim,証明
mobiliz,動員
pilgrim,巡礼者
improviz,即興
inauxgur,式典
karambol,キャノン
katehxiz,教理
klasifik,分類
kontribu,貢献
litograf,石版印刷
prostitu,売春
centraliz,集中
stenograf,速記
ekskomunik,破門
karakteriz,特徴付ける
ajx,物
ant,能動分詞
ebl,可能
igx,なる
ind,価値
int,済
ism,主義
ist,者
obl,倍
ont,能動
estr,長
acx,粗悪
cxj##,
end,要
ing,鞘
ajn,何でも
cxi##,
ecx##,
for,離れる
iam,時
iom,少し
jam,もう
jen,ここ
jes,はい
kie,どこ
mem,自分
nun,今
nur,だけ
pli,もっと
plu,さらに
tie,そこ
tre,とても
tro,過度
tuj,すぐ
cxie,至る所
jxus,今
kiam,いつ
plej,最
tial,だから
tiam,その時
tiel,そう
tiom,そんなに
cxiam,常に
nenie,どこにもない
ankaux,も
neniam,決して
baldaux,すぐ
hieraux,昨日
hodiaux,今日
morgaux,明日
tie cxi##,
almenaux,少なくとも
ankoraux,まだ
preskaux,ほぼ
tiel cxi##,
oft,頻繁
ial,理由で
iel,何とか
volont,自発
des,ますます
neniom,全くない
cxial,すべての理由で
cxiom,全て
ia/foj##,
nenial,理由なし
neniel,全然
parker,覚える
foj,回数
hom,人
jar,年
kap,頭
kor,心
lok,所
man,手
nom,名
tag,日
ter,地
vir,男
voj,道
afer,事
amik,友人
form,形状
kamp,野
land,国
mond,世界
naci,国
patr,父
temp,時
vort,語
flank,側面
infan,子供
patr/in##,
cxambr,部屋
sinjor,紳士
akv,水
arb,木
art,アート
dom,家
edz,夫
fil,息子
har,髪
hor,時
lit,ベッド
mar,海
mon,金
mur,壁
pac,平和
pec,片
sun,日
urb,市
bild,画像
bird,鳥
busx,バス
frat,兄
hejm,家
knab,少年
kort,中庭
libr,本
mont,山
okul,目
part,部
pied,足
pord,ドア
rajt,権利
tabl,テーブル
vent,風
vest,衣服
fingr,指
frukt,果
kolor,色
leter,手紙
lingv,言語
maten,朝
popol,民衆
punkt,点
rimed,方法
valor,価値
cxeval,馬
famili,家族
frauxl,独身男
person,人
semajn,週
vesper,夕方
vizagx,顔
fenestr,窓
aer,空気
agx,年齢
cel,目標
fer,鉄
ide,概念
kat,猫
kol,首
mez,中央
naz,鼻
nub,雲
ord,順
pan,パン
roz,バラ
best,動物
bord,岸
brak,腕
dent,歯
fajr,火
fisx,魚
flor,花
glas,グラス
hund,犬
korp,体
lakt,ミルク
lign,木
lini,線
mark,印
negx,雪
nokt,夜
onkl,叔父
orel,耳
plum,ペン
pluv,雨
rond,円
sang,血
segx,椅子
spec,種
stat,状態
supr,上
sxip,船
vitr,ガラス
angul,角
dauxr,続く
dolor,痛み
gazet,雑誌
kauxz,原因
kutim,慣れ
minut,分
monat,月
natur,自然
nombr,数
paper,紙
plank,床
river,川
somer,夏
staci,駅
strat,通り
suker,砂糖
sxton,石
vagon,車両
veter,天気
vintr,冬
auxtun,秋
cxapel,帽子
direkt,指示
kolekt,収集
moment,瞬間
plezur,喜び
vilagx,村
ekzempl,例
gxarden,庭園
histori,歴史
printemp,春
bov,牛
ink,インク
kaf,コーヒー
kok,鶏
kuk,ケーキ
kuz,従兄弟
lag,湖
lim,限界
lun,月
maj,５月
pak,包
sak,袋
sum,合計
tru,穴
vin,ワイン
anim,魂
azen,ロバ
benk,ベンチ
dors,背
foli,葉
font,源
fund,底
genu,ひざ
gren,穀物
grup,グループ
herb,草
juli,７月
juni,６月
kart,カード
klas,クラス
korb,かご
kruc,十字
krur,脛
lang,言語
legx,法
lund,月曜
mard,火曜
mart,三月
ofic,職務
ombr,影
pagx,ページ
pork,豚
posx,ポケ
radi,線
regx,王
senc,意味
stel,星
sxaf,羊
verk,執筆
vocx,声
adres,住所
april,４月
brust,胸
buter,バター
donac,贈り物
glaci,氷
kuler,さじ
mastr,主
muzik,音楽
numer,数
posxt,郵便
prunt,貸す
sabat,土曜
sxtat,国
sxtup,段
teler,皿
terur,怖い
vapor,蒸気
insekt,虫
januar,１月
jxauxd,木曜
kovert,封筒
krajon,ペンシル
manier,方法
objekt,物
oktobr,１０月
plafon,天井
region,地域
religi,宗教
spirit,魂
argxent,銀
dangxer,危ない
decembr,１２月
dimancx,日曜
februar,２月
horlogx,時計
merkred,水曜
novembr,１１月
produkt,生産
vendred,金曜
septembr,９月
bar,障害
bek,くち
fak,専攻
fum,煙
gas,ガス
gut,滴
jak,スーツ
kel,地下
kuv,桶
lip,唇
nep,孫
nev,甥
not,メモ
ole,油
ond,波
ost,骨
par,ペア
pom,リンゴ
pot,壺
rad,輪
ret,ネット
sal,塩
sap,石鹸
sem,種
sud,南
sup,スープ
sxu,靴
tas,茶碗
tol,麻
tuk,布
ung,爪
val,谷
vic,列
barb,ひげ
bros,ブラシ
fakt,事実
flag,旗
fork,フォーク
forn,炉
gast,客
gras,脂肪
kapr,ヤギ
karb,炭
kest,箱
korn,角
krim,犯罪
lamp,灯
mebl,家具
mien,顔
musx,ハエ
nord,北
past,ペースト
pilk,ボール
pint,頂点
polv,埃
pont,橋
prez,値段
rand,縁
regn,国
seri,連続
sign,記号
sort,運
spic,スパイス
vang,頬
vost,尾
vund,傷
botel,瓶
buton,ボタン
cifer,数
faden,糸
frunt,額
hauxt,皮膚
honor,栄誉
insul,島
kajer,メモ
kamen,炉
legom,菜
liter,字
metal,金属
pingl,ピン
polic,警察
polur,磨く
premi,賞
regul,ルール
sezon,季
sxanc,チャンス
sxnur,ロープ
tabul,板
viand,肉
baston,棒
brancx,枝
cxemiz,シャツ
doktor,医師
kravat,ネクタイ
lecion,授業
masxin,機械
milion,百万
najbar,隣人
parenc,親戚
publik,公共
scienc,科学
sekret,秘密
skatol,箱
soldat,兵士
spegul,鏡
sxargx,荷
sxrank,棚
tualet,服装
cxapitr,章
fromagx,チーズ
kondicx,条件
praktik,実践
serpent,蛇
sxtrump,靴下
tegment,屋根
telefon,電話
industri,工業
kilogram,キロ
okcident,西
pantalon,ズボン
abi,モミ
agl,鷲
ber,果実
bot,ブーツ
bul,球
dat,日付
glu,のり
jup,スカート
kav,穴
lan,羊毛
led,革
mod,流行
mor,習慣
pin,松
pip,管
piz,豆
put,井
rel,レール
riz,米
rok,岩
suk,ジュース
tem,題目
tub,管
tur,塔
vat,ワタ
vaz,器
zon,ベルト
arme,軍
bank,銀行
bien,土地
bier,ビール
bret,棚
brik,レンガ
cikl,周期
cxap,帽子
drat,ワイヤー
epok,時代
fask,束
feri,休み
film,映画
flam,火
flos,筏
fojn,干草
fulm,雷
glob,球
grad,度
gust,味
kadr,枠
krem,クリーム
kurb,曲
kurs,コース
larm,涙
leon,ライオン
litr,リットル
luks,贅沢
meti,作る
metr,メートル
najl,釘
nest,巣
pajl,藁
plac,広場
plad,皿
plan,計画
poet,詩人
pugn,拳
ring,リング
sabl,砂
scen,舞台
skal,スケール
soci,社交
spac,空
stal,厩舎
task,タスク
tomb,墓
verm,虫
vers,詩句
viol,スミレ
agord,調整
balon,風船
bilet,券
burgx,ブルジョ
centr,中央
etagx,階
farun,粉
figur,姿
frost,霜
gorgx,喉
grund,地
haven,港
hotel,宿泊施設
humor,気分
karot,ニンジン
katar,炎症
kling,刃
koton,綿
kvant,量
lepor,野兎
makul,汚点
manik,袖
membr,メンバー
mizer,悲惨
nebul,霧
organ,器官
parti,党派
pastr,牧師
radik,根
serur,鍵
solid,固体
sonor,音
strek,線
sxvit,汗
tabak,タバコ
tabel,表
titol,タイトル
tondr,雷鳴
valiz,かばん
ventr,腹
alumet,マッチ
aparat,機器
brasik,キャベツ
citron,シトロン
cxifon,ぼろ
dekliv,斜面
dezert,砂漠
elektr,電気
energi,エネ
fiancx,婚約者
hirund,ツバメ
kelner,ウェイター
kvalit,質
majstr,名匠
mantel,マント
martel,ハンマー
matrac,マット
menton,顎
orangx,オレンジ
origin,起点
potenc,力
salajr,給与
sekund,秒
societ,社会
stomak,胃
sxultr,肩
tapisx,カーペット
tritik,小麦
aventur,冒険
cigared,タバコ
distanc,距離
embaras,困惑
kamarad,友人
kaserol,鍋
komitat,委員会
kongres,大会
kvadrat,正方形
magazen,倉庫
pasport,パスポート
politik,政治
registr,登録
ter/pom##,
akcident,事故
auxtobus,バス
auxtomat,自動
cxokolad,チョコ
direktor,監督
instinkt,本能
karakter,性格
kauxcxuk,ゴム
material,素材
standard,旗
telegraf,電信
restoraci,レストラン
ark,アーチ
baz,基
beb,赤ちゃん
bub,悪童
bud,小屋
fel,毛
hok,フック
huf,蹄
jur,法
kas,金庫
kin,映画
kom,カンマ
kot,泥
lup,狼
mam,乳房
map,地図
min,鉱山
mus,ネズミ
net,清書
nod,結び
orf,孤児
ort,直角
pat,鍋
pil,電池
pir,梨
pup,人形
rat,ネズミ
rip,肋
rob,ローブ
tip,先端
ton,音
urs,熊
var,商品
vel,帆
vit,葡萄
abel,蜂
auxt,車
bluz,ブラウス
boat,船
brov,眉
cerb,脳
cxek,小切手
cxen,鎖
disk,円
dram,劇
drap,ラシャ
dusx,シャワー
ezok,カワカマス
farb,絵具
febr,熱
fend,割れ
foir,市場
fost,柱
frag,イチゴ
fulg,すす
funt,ポンド
gant,手袋
geni,天才
glor,栄誉
golf,ゴルフ
hajl,雹
hero,ヒーロー
kemi,化学
kord,弦
kork,コルク
krad,格子
kran,蛇口
kret,チョーク
kriz,危機
kron,王冠
kugl,弾
kupr,銅
lift,リフト
list,リスト
mast,帆柱
nadl,針
nerv,神経
oliv,オリーブ
park,公園
pasi,情熱
pask,復活祭
pelt,毛皮
plet,盆
poem,詩
proz,散文
pulm,肺
pulv,火薬
rang,位
revu,雑誌
ritm,リズム
seks,性
sens,感覚
silk,シルク
simi,猿
sojl,敷居
stil,様式
stri,線
sxel,殻
tend,テント
verb,動詞
verg,枝
vert,頂
vidv,未亡人
virt,美徳
vual,ベール
vulp,狐
afisx,ポスター
album,アルバム
almoz,施物
arane,クモ
asoci,協会
avenu,街路
aviad/il##,
barel,たる
bazar,市場
betul,白樺
brems,制動
butik,店
