adiaux,さようなら
pun,罰する
sav,救助する
tus,せきをする
akir,獲得する
apog,支える
atak,攻撃する
bala,掃く
blov,吹く
cxas,狩る
danc,踊る
eduk,教育する
evit,避ける
fleg,看護する
glit,すべる
gvid,案内する
gxen,邪魔する
hejt,暖房する
hont,恥じる
imag,想像する
imit,模倣する
komb,すく
mend,注文する
miks,混ぜる
nagx,泳ぐ
plug,耕す
pres,印刷する
soif,喉が乾く
spez,出納する
sxir,ちぎる
trem,震える
trov,見つける
venk,勝つ
visx,拭く
volv,巻く
anonc,公表する
aprob,賛成する
avert,警告する
merit,価する
minac,脅す
pentr,描く
posed,所有する
pregx,祈る
rifuz,拒絶する
rilat,関係する
ripar,修理する
skrap,削る
sxerc,冗談を言う
tromp,だます
defend,守る
desegn,描く
esting,消す
inform,通報する
kompar,比較する
kondut,ふるまう
konfes,告白する
konsci,意識する
kultur,栽培する
mensog,嘘をつく
rezult,起きる
rikolt,収穫する
strecx,緊張させる
sxovel,シャベルですくう
akompan,同行する
aparten,所属する
bedauxr,残念に思う
konsist,成り立つ
organiz,組織する
progres,進歩する
respekt,尊敬する
riprocx,とがめる
diferenc,異なる
rekomend,推薦する
korespond,文通する
enu,退屈する
fid,信頼する
gxu,楽しむ
hak,たたき切る
log,気を引く
pek,罪を犯す
pes,重さを計る
raz,そる
dron,溺れる
fajf,口笛を吹く
fand,溶かす
farm,小作する
fart,暮らす
frot,摩擦する
gxem,うめく
krev,裂ける
kudr,縫う
mord,かむ
muel,挽く
nutr,養う
odor,臭う
rajd,乗って行く
solv,解決する
taks,評価する
teks,織る
tent,誘惑する
urgx,さし迫る
babil,雑談する
detru,破壊する
difin,定義する
distr,気を散らす
diven,見抜く
divid,分割する
etend,伸ばす
evolu,進化する
forgx,鍛える
frand,美食する
grimp,よじ登る
hezit,ためらう
krocx,ひっ掛ける
lauxd,ほめる
mason,築く
ofert,提供する
ornam,装飾する
petol,いたずらをする
songx,夢を見る
stern,敷き広げる
supoz,想定する
sxirm,かばう
sxpar,節約する
sxtop,詰めふさぐ
sxuld,債務を負う
sxvel,膨れる
toler,我慢する
versx,注ぐ
aspekt,見える
dauxr/ig##,続ける
difekt,損傷する
diskut,討議する
domagx,惜しむ
ekscit,興奮させる
ekzerc,訓練する
esplor,探求する
esprim,表現する
konsol,慰める
murmur,つぶやく
prezid,議長を勤める
signif,意味する
skulpt,彫刻する
traduk,翻訳する
ekskurs,遠足する
ekzamen,調べる
komunik,伝える
koncern,関係がある
konstat,確認する
protekt,保護する
protest,抗議する
renvers,転覆させる
surpriz,驚かす
konsider,考慮する
persekut,迫害する
reprezent,代表する
bak,焼く
ben,祝福する
boj,ほえる
bor,穴をあける
ced,譲歩する
cit,引用する
lek,なめる
rab,強奪する
rav,うっとりさせる
rem,漕ぐ
rev,空想する
seg,鋸で引く
sku,揺すぶる
ted,うんざりさせる
teg,上張りする
abon,予約する
dung,雇う
envi,うらやむ
flar,嗅ぐ
fond,創立する
frit,フライにする
friz,カールする
gest,身振りをする
glad,アイロンをかける
glut,飲み込む
jxur,誓う
kned,こねる
macx,かみ砕く
melk,乳を搾る
migr,移動する
munt,組み立てる
ofer,捧げる
pent,後悔する
pruv,証明する
pump,吸い上げる
putr,腐敗する
ramp,這って進む
risk,危険にさらす
ronk,いびきをかく
rost,焼く
sven,失神する
sxov,押しやる
sxut,まく
tajl,裁断する
tord,よじる
tren,引きずって行く
vari,変動する
velk,枯れる
adici,足し算する
admir,感嘆する
admon,言い聞かせる
adopt,養子にする
akcel,加速する
atest,証明する
cxerp,汲む
degel,融ける
deleg,派遣する
fleks,曲げる
flirt,翻る
hered,相続する
influ,影響を与える
kares,愛撫する
medit,黙考する
nauxz,吐き気を催させる
osced,あくびをする
pasxt,放牧する
pauxz,休止する
pincx,つまむ
plekt,編む
regal,ごちそうする
ribel,反乱する
sopir,恋しがる
sorcx,魔法にかける
strik,ストライキをする
sufok,窒息させる
sving,振る
sxarg,装填する
sxmir,塗る
trakt,取り扱う
tremp,ひたす
afrank,切手を貼る
asekur,保険をかける
balanc,上下に揺る
barakt,もがく
dedicx,捧げる
deklar,宣言する
destin,予定する
disput,口論する
escept,除外する
festen,宴会をする
frakas,打ち砕く
gratul,お祝いを言う
ilustr,挿絵を入れる
import,輸入する
insist,固執する
instal,据え付ける
instig,励ます
insult,罵る
komand,指揮する
komisi,委託する
konfid,信頼する
konfit,砂糖漬けにする
konfuz,混乱させる
konkur,競争する
kritik,批判する
observ,観察する
penetr,浸透する
perfid,裏切る
proced,手順を運ぶ
raport,報告する
reklam,広告をする
rezign,放棄する
rezist,抵抗する
rifugx,避難する
brak/um##,抱きしめる
civiliz,教化する
cxagren,いらだたせる
de/pend##,依存する
disting,判別する
eksplod,爆発する
garanti,保証する
komplez,親切にする
kondamn,罪
konfirm,確認する
konjekt,推測する
konklud,結論する
kontrol,検査する
konvink,説得する
operaci,手術する
plen/um##,果たす
pretend,権利を要求する
suspekt,怪しむ
turment,いじめる
distribu,分配する
fanfaron,大言壮語する
kontrakt,契約する
mastr/um##,家政をとる
prokrast,延期する
administr,管理する
el/turn/igx##,身をかわす
entrepren,企てる
dec,かなう
juk,かゆい
lul,寝かしつける
vad,歩く
vag,さまよう
vet,賭ける
vom,吐く
zum,ブンブン言う
ador,崇拝する
agit,扇動する
akuz,告発する
alud,ほのめかす
bapt,洗礼を施す
bind,製本する
blek,いななく
bred,飼育する
bucx,屠殺する
cxif,しわくちゃにする
dikt,口述筆記させる
dres,調教する
ekip,装備する
est/ig##,引き起こす
fast,断食する
flat,おだてる
flik,継ぎを当てる
fugx,逃げる
fusx,仕損じる
garn,補強する
grat,掻く
hav/ig##,持たせる
izol,孤立させる
jung,つなぐ
lukt,格闘する
mugx,うなる
opon,反対する
palp,手探りする
pekl,塩づけにする
pere,破滅する
pli/ig##,ふやす
sark,除草する
sekc,切断する
sorb,吸収する
spit,ものともしない
sucx,吸う
svat,仲人する
tajp,タイプする
tern,くしゃみをする
tikl,くすぐる
tint,チンチンと鳴る
trik,編み物をする
trud,押し付ける
vart,保育する
adapt,適合させる
aplik,応用する
asert,断言する
asist,補佐する
balot,投票する
cxe/est##,出席する
delir,錯乱する
depon,預ける
deput,出す
enket,調査する
eskap,逃れる
falcx,かまで刈る
flagr,揺らめく
for/est##,不在だ
grinc,きしる
ignor,無視する
impet,突進する
incit,怒らせる
indik,指し示す
insid,落とし入れる
inund,氾濫する
kracx,たんを吐く
liver,供給する
menci,言及する
modif,修正する
ofend,侮辱する
rezon,推論する
rivel,あかす
start,スタートする
susur,さらさら鳴る
sxpin,紡ぐ
trejn,訓練する
vengx,復讐をする
abstin,節制する
aflikt,悩ませる
altern,交互に起こる
balbut,どもる
cirkul,循環する
dejxor,当直する
denunc,告発する
de/ten##,引きとめる
dev/ont/ig##,約束させる
digest,消化する
dispon,自由に使う
dorlot,甘やかす
eksped,発送する
el/don##,出版する
establ,創立する
flustr,ささやく
grimac,顔をしかめる
grumbl,ぶつぶつ言う
implik,もつれさす
indign,激怒する
indulg,容赦する
infekt,感染させる
injekt,注射する
inspir,心に吹き込む
invent,発明する
klopod,奔走する
kolizi,衝突する
kombin,組合わせる
kompon,構成する
konsum,消費する
korekt,訂正する
lubrik,油を注す
manovr,機動演習する
plongx,飛び込む
preleg,講演する
propon,提案する
provok,挑発する
recenz,批評する
redakt,編集する
redukt,縮小する
revizi,校閲する
sxpruc,噴出する
aplauxd,拍手する
blasfem,冒涜する
bon/vol##,どうぞ～する
brokant,古物売買する
eksport,輸出する
ekzekut,死刑を執行する
gust/um##,味わう
iniciat,発起する
kalumni,中傷する
kompens,補償する
komplik,複雑にする
kontest,異議を唱える
manipul,操作する
neglekt,なおざりにする
persist,頑張る
prononc,発音する
prosper,繁栄する
reflekt,反射する
re/form##,改造する
subtrah,引き算する
sxancel,ぐらつかせる
televid,テレビを見る
determin,確定する
ekspluat,開発する
koncentr,集中する
mistifik,煙にまく
preskrib,処方する
revoluci,革命を起こす
riverenc,お辞儀する
interpret,通訳する
kompromit,危険にさらす
multiplik,掛ける
propagand,宣伝する
konversaci,会話する
interpelaci,質問する
erp,まぐわでならす
kov,抱いている
lut,半田づけする
pep,さえずる
tan,なめす
agac,歯の浮くような思いをさせる
brod,刺繍する
brog,熱湯をかける
cxiz,彫刻する
edif,教化する
fajl,やすりをかける
krak,音をたてる
kroz,巡航する
pist,つく
rasp,すりおろす
rast,かく
rigl,かんぬきをかける
rukt,げっぷ
sibl,シューシュー音を立てる
skiz,スケッチする
sput,吐く
steb,合わせ縫いする
stuk,漆喰を塗る
sxim,かびる
torn,旋削する
trot,速歩する
urin,排尿する
varb,募集する
adult,密通する
afekt,見せかける
akusx,出産する
arest,逮捕する
asign,割当てる
atenc,危害を加える
drasx,打穀する
drink,飲む
ekzil,国外追放する
filtr,ろ過する
infuz,振り出す
kribr,ふるいにかける
parad,分裂行進する
rabot,かんなをかける
rafin,精製する
satur,飽和させる
siegx,包囲する
skerm,フェンシングをする
strab,やぶにらみする
sxmac,チュッと音を立てる
uzurp,横領する
veget,植生する
border,縁取る
cxikan,難癖を付ける
degrad,降格する
dibocx,酒色にふける
distil,蒸留する
drapir,掛け布でおおう
gargar,うがいする
gravur,彫り込む
guvern,養育する
ilumin,照明する
inokul,接種する
intrig,陰謀を企てる
jxongl,手品を使う
kartav,ｒ音をのどで発音する
kontuz,打撲傷を与える
likvid,清算する
makler,仲買をする
plauxd,ばしゃりと音を立てる
predik,説教する
rembur,詰め物をする
ventol,換気する
decxifr,解読する
degener,退化する
diskont,手形割引する
ferment,発酵する
kalfatr,コーキンする
kolport,行商する
kompost,植字する
konspir,陰謀を企む
konvert,改宗させる
paraliz,麻痺させる
proklam,布告する
singult,しゃっくりする
cxarpent,大工仕事をする
hipokrit,偽善をする
intermit,断続する
konstern,仰天させる
marcxand,値切る
kapitulac,降伏する
kauxteriz,腐食させる
komentari,koment
koment,注釈する
poz,ポーズをとる
vak,あいている
boks,拳闘する
gxir,振替える
kirl,かきまわす
klak,かちかち音をたてる
kluk,クックッと鳴く
knar,きしる
murd,殺害する
pled,弁護する
sond,探る
tatu,入れ墨する
abdik,退く
abort,流産する
agoni,死の苦しみを味わう
aklam,歓呼する
amput,切断する
aneks,併合する
aspir,熱望する
deriv,派生させる
feder,連合させる
impon,威圧する
invad,侵入する
kauxr,うずくまっている
klacx,悪口をいう
klisx,ステロ版にとる
kotiz,払う
marin,マリネソースに漬ける
miaux,ニャアと鳴く
modul,転調する
refut,論破する
rikan,冷笑する
streb,【に）全力をつくす
svarm,群がっている
sxveb,浮かぶ
absorb,夢中にさせる
akapar,買占める
analiz,分析する
asimil,同化する
asperg,水をやる
atribu,割り当てる
auxgur,占う
bojkot,ボイコットする
cenzur,検閲する
dedukt,演繹する
deklam,朗読する
dekolt,くる
indukt,帰納する
kompil,編さんする
konced,容認する
konker,征服する
korupt,買収する
kverel,口論する
lament,悲嘆にくれる
narkot,麻酔する
stimul,激励する
strigl,櫛をかける
sxrump,しなびる
amortiz,原価消却する
anticip,前もってする
apelaci,訴える
bankrot,破産する
bombard,砲撃する
emancip,解放する
inspekt,査察する
katekiz,問答で教理を教える
koincid,符合する
konfisk,没収する
konsekr,清める
konsult,相談する
legitim,証明する
mobiliz,動員する
pilgrim,巡礼する
improviz,即興的に作る
inauxgur,式を行う
karambol,キャノンする
katehxiz,katekiz
klasifik,分類する
kontribu,寄与する
litograf,石版印刷する
prostitu,売春させる
centraliz,集中する
stenograf,速記する
ekskomunik,破門する
karakteriz,特色づける
ajx,事物
ant,能動・継続　
ebl,可能
igx,なる
ind,価値
int,能動・完了　
ism,主義
ist,従事者
obl,倍数
ont,能動・将然　
estr,長
acx,粗悪
cxj##,男子愛称
end,必要
ing,さや
ajn,であろうと
cxi##,近接
ecx##,さえ
for,離れて
iam,ある時
iom,いくらか，多少
jam,既に
jen,そらここに
jes,はい
kie,どこで
mem,自身
nun,今
nur,ただ～だけ
pli,より
plu,さらに
tie,そこ・あそこで
tre,たいへん
tro,あまりに～すぎる
tuj,すぐに
cxie,いたる所で
jxus,たった今
kiam,いつ
plej,最も
tial,それゆえ
tiam,その時，あの時
tiel,その・あの様に
tiom,そんな・あんなに
cxiam,いつも
nenie,どこにも～ない
ankaux,また
neniam,決して～ない/td>
baldaux,まもなく
hieraux,昨日
hodiaux,今日
morgaux,明日
tie cxi##,ここで
almenaux,少なくとも
ankoraux,まだ
preskaux,ほとんど
tiel cxi##,この様に
oft,たびたび
ial,ある理由で
iel,どうにかして
volont,自ら進んで
des,それだけますます
neniom,少しも～ない
cxial,あらゆる理由で
cxiom,全部
ia/foj##,ある時
nenial,どんなわけでも～ない
neniel,どうしても～ない
parker,暗記して
foj,回
hom,人
jar,年
kap,頭
kor,心
lok,場所
man,手
nom,名前
tag,日
ter,土地
vir,男
voj,道
afer,物事
amik,友達
form,形
kamp,野原
land,国
mond,世界
naci,国民
patr,父
temp,時間
vort,語
flank,側
infan,子供
patr/in##,母
cxambr,部屋
sinjor,紳士
akv,水
arb,木
art,技術
dom,家
edz,夫
fil,息子
har,毛
hor,時間
lit,ベッド
mar,海
mon,金銭
mur,壁
pac,平和
pec,一片
sun,太陽
urb,市
bild,絵
bird,鳥
busx,口
frat,兄弟
hejm,家庭
knab,少年
kort,中庭
libr,本
mont,山
okul,目
part,部分
pied,足
pord,戸口
rajt,権利
tabl,テーブル
vent,風
vest,服
fingr,指
frukt,果実
kolor,色
leter,手紙
lingv,言語
maten,朝
popol,人民
punkt,点
rimed,手段
valor,価値
cxeval,馬
famili,家族
frauxl,未婚男子
person,人
semajn,一週間
vesper,夕方
vizagx,顔
fenestr,窓
aer,空気
agx,年齢
cel,目的
fer,鉄
ide,観念
kat,猫
kol,首
mez,まん中
naz,鼻
nub,雲
ord,順序
pan,パン
roz,バラ
best,動物
bord,岸
brak,腕
dent,歯
fajr,火
fisx,魚
flor,花
glas,コップ
hund,犬
korp,体
lakt,乳
lign,木材
lini,線
mark,しるし
negx,雪
nokt,夜
onkl,おじ
orel,耳
plum,ペン
pluv,雨
rond,円形
sang,血
segx,いす
spec,種類
stat,状態
supr,頂上
sxip,船
vitr,ガラス
angul,角
dauxr,継続
dolor,痛み
gazet,雑誌
kauxz,原因
kutim,習慣
minut,分
monat,月
natur,自然
nombr,数
paper,紙
plank,床
river,川
somer,夏
staci,駅
strat,街路
suker,砂糖
sxton,石
vagon,車両
veter,天候
vintr,冬
auxtun,秋
cxapel,帽子
direkt,方向
kolekt,収集品
moment,瞬間
plezur,喜び
vilagx,村
ekzempl,例
gxarden,庭
histori,歴史
printemp,春
bov,牛
ink,インク
kaf,コーヒー
kok,ニワトリ
kuk,ケーキ
kuz,いとこ
lag,湖
lim,境界
lun,月
maj,５月
pak,包み
sak,袋
sum,合計
tru,穴
vin,ぶどう酒
anim,魂
azen,ロバ
benk,ベンチ
dors,背
foli,葉
font,源泉
fund,底
genu,ひざ
gren,穀物
grup,グループ
herb,草
juli,７月
juni,６月
kart,カード
klas,クラス
korb,かご
kruc,十字架
krur,すね
lang,舌
legx,法律
lund,月曜日
mard,火曜日
mart,３月
ofic,職務
ombr,かげ
pagx,ページ
pork,豚
posx,ポケット
radi,線
regx,王
senc,意味
stel,星
sxaf,ヒツジ
verk,著作
vocx,声
adres,住所
april,４月
brust,胸
buter,バター
donac,贈り物
glaci,氷
kuler,さじ
mastr,主人
muzik,音楽
numer,番号
posxt,郵便
prunt,貸し借り
sabat,土曜日
sxtat,国家
sxtup,段
teler,皿
terur,恐怖
vapor,蒸気
insekt,昆虫
januar,１月
jxauxd,木曜日
kovert,封筒
krajon,鉛筆
manier,やり方
objekt,物体
oktobr,１０月
plafon,天井
region,地方
religi,宗教
spirit,精神
argxent,銀
dangxer,危険
decembr,１２月
dimancx,日曜日
februar,２月
horlogx,時計
merkred,水曜日
novembr,１１月
produkt,生産
vendred,金曜日
septembr,９月
bar,障害
bek,くちばし
fak,専門
fum,煙
gas,ガス
gut,しずく
jak,背広
kel,地下室
kuv,大桶
lip,唇
nep,孫
nev,おい
not,覚え書
ole,油
ond,波
ost,骨
par,一対
pom,リンゴ
pot,つぼ
rad,車輪
ret,網
sal,塩
sap,石鹸
sem,種子
sud,南
sup,スープ
sxu,短靴
tas,茶碗
tol,リンネル
tuk,布
ung,つめ
val,谷
vic,列
barb,あごひげ
bros,ブラシ
fakt,事実
flag,旗
fork,フォーク
forn,炉
gast,客
gras,脂肪
kapr,山羊
karb,炭
kest,箱
korn,角
krim,犯罪
lamp,ランプ
mebl,家具
mien,顔つき
musx,ハエ
nord,北
past,ペースト
pilk,ボール
pint,先端
polv,ほこり
pont,橋
prez,価格
rand,縁
regn,国家
seri,連続
sign,符号
sort,運命
spic,香辛料
vang,ほお
vost,尾
vund,傷
botel,びん
buton,ボタン
cifer,数字
faden,糸
frunt,額
hauxt,皮膚
honor,名誉
insul,島
kajer,ノート
kamen,暖炉
legom,野菜
liter,文字
metal,金属
pingl,ピン
polic,警察
polur,光沢
premi,賞品
regul,規則
sezon,季節
sxanc,機会
sxnur,綱
tabul,板
viand,肉
baston,棒
brancx,枝
cxemiz,シャツ
doktor,博士
kravat,ネクタイ
lecion,授業
masxin,機械
milion,百万
najbar,隣人
parenc,親族
publik,公衆
scienc,科学
sekret,秘密
skatol,手箱
soldat,兵士
spegul,鏡
sxargx,積荷
sxrank,戸棚
tualet,衣装
cxapitr,章
fromagx,チーズ
kondicx,条件
praktik,実践
serpent,ヘビ
sxtrump,長靴下
tegment,屋根
telefon,電話
industri,産業
kilogram,キログラム
okcident,西
pantalon,ズボン
abi,モミ
agl,ワシ
ber,液果
bot,長靴
bul,玉
dat,日付
glu,糊
jup,スカート
kav,穴
lan,羊毛
led,なめし皮
mod,流行
mor,風俗
pin,マツ
pip,パイプ
piz,エンドウ
put,井戸
rel,レール
riz,米
rok,岩
suk,汁
tem,テーマ
tub,管
tur,塔
vat,綿
vaz,うつわ
zon,帯
arme,軍隊
bank,銀行
bien,地所
bier,ビール
bret,棚
brik,れんが
cikl,周期
cxap,帽子
drat,針金
epok,時代
fask,束
feri,休日
film,フィルム
flam,炎
flos,いかだ
fojn,干し草
fulm,稲妻
glob,球体
grad,程度
gust,味
kadr,枠
krem,クリーム
kurb,曲線
kurs,講座
larm,涙
leon,ライオン
